personId,name,rank,match_personId,match_name,match_team,match_pos,dist
2074488,M. Benitez,2,1871466,A. Pruitt,GOE,PF,17.4
2074488,M. Benitez,3,191795,S. Ottonello,BIG,PF,19.0
2074488,M. Benitez,4,2486580,J. Canty,HYM,C,19.0
2074488,M. Benitez,5,727814,I. Xavier,HYM,F,20.1
2074488,M. Benitez,6,2261706,S. Conceicao,GOE,C,20.6
2074488,M. Benitez,7,1924909,F. Hassell,BIG,C,21.2
2074488,M. Benitez,8,1645560,N. Martinez,MAL,PF,21.6
2074488,M. Benitez,9,17669,G. Espindola,CNF,F,21.7
2074488,M. Benitez,10,2178363,E. Romero,CAP,C,21.8
2074488,M. Benitez,11,2413907,E. Bell,CNF,PF,21.9
2074488,M. Benitez,12,17554,A. Zuvich,AGU,C,22.0
1714808,B. Curadossi,1,2534718,J. Matos,BIG,PG,20.0
1714808,B. Curadossi,2,727814,I. Xavier,HYM,F,22.5
1714808,B. Curadossi,3,2577763,A. Gilder Jr.,COR,PG,23.0
1714808,B. Curadossi,4,2486578,A. Nation,HYM,G,23.5
1714808,B. Curadossi,5,811063,N. Pomoli,CAP,PG,24.2
1714808,B. Curadossi,6,1987397,J. Josiah,GOE,PG,24.6
1714808,B. Curadossi,7,1430994,J. Rodriguez,AGU,F,24.7
1714808,B. Curadossi,8,1567203,M. Oyenard,GOE,PG,24.7
1714808,B. Curadossi,9,17044,F. Verrone,GOE,PF,24.9
1714808,B. Curadossi,10,191795,S. Ottonello,BIG,PF,25.5
1714808,B. Curadossi,11,425204,A. Louis,HYM,PF,26.1
1714808,B. Curadossi,12,1871466,A. Pruitt,GOE,PF,26.2
1981004,D. Wright,1,62685,S. Massa,UUN,F,17.5
1981004,D. Wright,2,2620317,T. Ferguson,WEL,SG,20.3
1981004,D. Wright,3,16807,A. Lopez,UAT,SG,21.8
1981004,D. Wright,4,16857,G. Iglesias,BIG,PF,23.4
1981004,D. Wright,5,983931,T. Leites,COR,F,23.6
1981004,D. Wright,6,968070,G. Souza,UAT,F,24.7
1981004,D. Wright,7,17046,M. Zubiaurre,DSC,G,25.1
1981004,D. Wright,8,571401,X. Couste,GOE,F,25.3
1981004,D. Wright,9,17571,F. Pereiras,AGU,PG,26.0
1981004,D. Wright,10,1314581,R. Previatti,WEL,PF,26.7
1981004,D. Wright,11,539387,F. Soto,DSC,F,27.2
1981004,D. Wright,12,1567203,M. Oyenard,GOE,PG,27.7
1334179,F. Garcia,1,2399946,J. Webster,MAL,PG,13.1
1334179,F. Garcia,2,1989296,T. Rodriguez,BIG,G,16.6
1334179,F. Garcia,3,961332,E. Bonet,GOE,PG,17.9
1334179,F. Garcia,4,16717,G. Semiglia,HYM,F,18.6
1334179,F. Garcia,5,1338848,M. Giano,UAT,PG,19.0
1334179,F. Garcia,6,16508,A. Acosta,GOE,G,19.0
1334179,F. Garcia,7,2324181,D. Hicks,BIG,G,19.3
1334179,F. Garcia,8,2321121,J. Feldeine,CNF,G,21.3
1334179,F. Garcia,9,15251,L. Parodi,CNF,G,21.9
1334179,F. Garcia,10,701864,D. Sims,AGU,PG,23.5
1334179,F. Garcia,11,15257,F. Medina,COR,G,24.3
1334179,F. Garcia,12,16511,S. Moglia,WEL,F,24.7
14724,S. Vidal,1,1894506,A. Mendez,CNF,G,19.7
14724,S. Vidal,2,15251,L. Parodi,CNF,G,20.4
14724,S. Vidal,3,1942261,M. Espinosa,BIG,G,22.7
14724,S. Vidal,4,17379,P. Rusch,COR,G,23.0
14724,S. Vidal,5,16511,S. Moglia,WEL,F,26.9
14724,S. Vidal,6,1989296,T. Rodriguez,BIG,G,27.1
14724,S. Vidal,7,2324181,D. Hicks,BIG,G,27.1
14724,S. Vidal,8,2399946,J. Webster,MAL,PG,27.5
